,grade,name,gu,dong,address_1,address_2,lat,lng
0,초등학교,서울자곡초등학교,강남구,자곡동,서울특별시 강남구 자곡동 642,서울특별시 강남구 자곡로 150,37.47210099999999,127.0996175
1,초등학교,서울율현초등학교,강남구,자곡동,서울특별시 강남구 자곡동 689,서울특별시 강남구 밤고개로21길 15,37.47451520000001,127.108285
2,중학교,세곡중학교,강남구,자곡동,서울특별시 강남구 자곡동 617,서울특별시 강남구 자곡로 81,37.4718217,127.0922433
3,초등학교,서울세명초등학교,강남구,세곡동,서울특별시 강남구 세곡동 529,서울특별시 강남구 자곡로 55,37.4686014,127.0909942
4,중학교,휘문중학교,강남구,대치동,서울특별시 강남구 대치동 952-1,서울특별시 강남구 역삼로 541,37.505133,127.0621203
5,중학교,진선여자중학교,강남구,역삼동,서울특별시 강남구 역삼동 713,서울특별시 강남구 선릉로85길 27,37.50170749999999,127.047566
6,중학교,중동중학교,강남구,일원동,서울특별시 강남구 일원동 692,서울특별시 강남구 일원로8길 37,37.48881280000001,127.0781895
7,중학교,은성중학교,강남구,도곡동,서울특별시 강남구 도곡동 938-10,서울특별시 강남구 남부순환로359길 36,37.4877477,127.0360047
8,중학교,숙명여자중학교,강남구,도곡동,서울특별시 강남구 도곡동 91,서울특별시 강남구 남부순환로 2807,37.4910237,127.0530476
9,중학교,단국대학교사범대학부속중학교,강남구,대치동,서울특별시 강남구 대치동 1013,서울특별시 강남구 도곡로64길 21,37.496529,127.0564676
10,중학교,청담중학교,강남구,청담동,서울특별시 강남구 청담동 143,서울특별시 강남구 압구정로61길 36,37.5288594,127.0453485
11,중학교,역삼중학교,강남구,역삼동,서울특별시 강남구 역삼동 767-20,서울특별시 강남구 도곡로43길 10,37.4956492,127.0488665
12,중학교,언주중학교,강남구,삼성동,서울특별시 강남구 삼성동 28,서울특별시 강남구 선릉로116길 57,37.5141798,127.0468995
13,중학교,언북중학교,강남구,논현동,서울특별시 강남구 논현동 69,서울특별시 강남구 도산대로38길 27,37.5191189,127.0332439
14,중학교,압구정중학교,강남구,압구정동,서울특별시 강남구 압구정동 471,서울특별시 강남구 압구정로 225,37.5298898,127.0330227
15,중학교,신사중학교,강남구,압구정동,서울특별시 강남구 압구정동 410,서울특별시 강남구 압구정로 123,37.5243401,127.0212559
16,중학교,신구중학교,강남구,신사동,서울특별시 강남구 신사동 621,서울특별시 강남구 압구정로36길 17,37.5270043,127.0322095
17,중학교,수서중학교,강남구,수서동,서울특별시 강남구 수서동 710,서울특별시 강남구 광평로59길 57,37.490992,127.1026306
18,중학교,봉은중학교,강남구,삼성동,서울특별시 강남구 삼성동 82-7,서울특별시 강남구 영동대로128길 59,37.5190896,127.0627832
19,중학교,도곡중학교,강남구,도곡동,서울특별시 강남구 도곡동 541-2,서울특별시 강남구 언주로57길 31,37.4924854,127.0450824
20,중학교,대치중학교,강남구,도곡동,서울특별시 강남구 도곡동 460,서울특별시 강남구 남부순환로378길 39,37.4841743,127.0477298
21,중학교,대청중학교,강남구,대치동,서울특별시 강남구 대치동 502,서울특별시 강남구 양재천로 321,37.4901314,127.0585502
22,중학교,대왕중학교,강남구,수서동,서울특별시 강남구 수서동 750,서울특별시 강남구 광평로20길 7,37.4831335,127.0873945
23,중학교,대명중학교,강남구,대치동,서울특별시 강남구 대치동 952,서울특별시 강남구 역삼로87길 26,37.5060559,127.061066
24,중학교,구룡중학교,강남구,개포동,서울특별시 강남구 개포동 650,서울특별시 강남구 선릉로 103,37.4858999,127.0564272
25,중학교,개포중학교,강남구,개포동,서울특별시 강남구 개포동 660-37,서울특별시 강남구 선릉로 9,37.4804726,127.0620792
26,중학교,개원중학교,강남구,개포동,서울특별시 강남구 개포동 184,서울특별시 강남구 영동대로 101,37.4913769,127.0714248
27,초등학교,서울학동초등학교,강남구,논현동,서울특별시 강남구 논현동 264-7,서울특별시 강남구 선릉로115길 42,37.5120662,127.0398114
28,초등학교,서울포이초등학교,강남구,개포동,서울특별시 강남구 개포동 1273,서울특별시 강남구 개포로22길 87,37.4755995,127.0523238
29,초등학교,서울청담초등학교,강남구,청담동,서울특별시 강남구 청담동 142,서울특별시 강남구 압구정로71길 9,37.5279801,127.0450373
30,초등학교,서울일원초등학교,강남구,일원동,서울특별시 강남구 일원동 691,서울특별시 강남구 영동대로4길 20,37.4895034,127.0763998
31,초등학교,서울왕북초등학교,강남구,수서동,서울특별시 강남구 수서동 745,서울특별시 강남구 광평로31길 74,37.4861747,127.0864664
32,초등학교,서울영희초등학교,강남구,일원동,서울특별시 강남구 일원동 617,서울특별시 강남구 일원로 21,37.4919412,127.0812766
33,초등학교,서울역삼초등학교,강남구,역삼동,서울특별시 강남구 역삼동 833-7,서울특별시 강남구 강남대로66길 21,37.4928011,127.0327832
34,초등학교,서울언주초등학교,강남구,도곡동,서울특별시 강남구 도곡동 922,서울특별시 강남구 남부순환로363길 19,37.4865471,127.0371722
35,초등학교,서울언북초등학교,강남구,청담동,서울특별시 강남구 청담동 27,서울특별시 강남구 삼성로135길 42,37.5199691,127.0456266
36,초등학교,서울양전초등학교,강남구,개포동,서울특별시 강남구 개포동 183,서울특별시 강남구 개포로 513,37.4904255,127.07003
37,초등학교,서울압구정초등학교,강남구,압구정동,서울특별시 강남구 압구정동 461,서울특별시 강남구 압구정로39길 29,37.5313997,127.0309069
38,초등학교,서울신구초등학교,강남구,신사동,서울특별시 강남구 신사동 550-11,서울특별시 강남구 압구정로18길 28,37.5231178,127.0241858
39,초등학교,서울수서초등학교,강남구,수서동,서울특별시 강남구 수서동 709,서울특별시 강남구 광평로51길 46,37.4908423,127.101657
40,초등학교,서울삼릉초등학교,강남구,삼성동,서울특별시 강남구 삼성동 42,서울특별시 강남구 봉은사로63길 22,37.512835,127.0470984
41,초등학교,서울봉은초등학교,강남구,삼성동,서울특별시 강남구 삼성동 79-2,서울특별시 강남구 학동로 610,37.52041,127.0608528
42,초등학교,서울도성초등학교,강남구,역삼동,서울특별시 강남구 역삼동 714,서울특별시 강남구 역삼로 313,37.5009074,127.0491834
43,초등학교,서울도곡초등학교,강남구,대치동,서울특별시 강남구 대치동 924-10,서울특별시 강남구 선릉로64길 33,37.4990608,127.0546706
44,초등학교,서울대현초등학교,강남구,대치동,서울특별시 강남구 대치동 969,서울특별시 강남구 역삼로98길 16,37.5035728,127.0638597
45,초등학교,서울대치초등학교,강남구,대치동,서울특별시 강남구 대치동 505,서울특별시 강남구 양재천로 363,37.4909106,127.0622675
46,초등학교,서울대청초등학교,강남구,일원동,서울특별시 강남구 일원동 712,서울특별시 강남구 양재대로55길 28,37.4928354,127.0879259
47,초등학교,서울대진초등학교,강남구,개포동,서울특별시 강남구 개포동 13,서울특별시 강남구 개포로109길 74,37.4966858,127.0780444
48,초등학교,서울대왕초등학교,강남구,세곡동,서울특별시 강남구 세곡동 517,서울특별시 강남구 헌릉로618길 8,37.4644284,127.1055381
49,초등학교,서울대모초등학교,강남구,일원동,서울특별시 강남구 일원동 736,서울특별시 강남구 광평로20길 27,37.4811396,127.0862343
50,초등학교,서울대도초등학교,강남구,도곡동,서울특별시 강남구 도곡동 106-1,서울특별시 강남구 선릉로 209,37.4926976,127.0535224
51,초등학교,서울대곡초등학교,강남구,대치동,서울특별시 강남구 대치동 510,서울특별시 강남구 남부순환로 3022,37.4944062,127.0651765
52,초등학교,서울논현초등학교,강남구,논현동,서울특별시 강남구 논현동 168,서울특별시 강남구 강남대로120길 33,37.5082167,127.0263166
53,초등학교,서울구룡초등학교,강남구,개포동,서울특별시 강남구 개포동 655,서울특별시 강남구 개포로 263,37.4807968,127.0519292
54,초등학교,서울개포초등학교,강남구,개포동,서울특별시 강남구 개포동 188,서울특별시 강남구 삼성로4길 30,37.4876225,127.0685038
55,초등학교,서울개일초등학교,강남구,개포동,서울특별시 강남구 개포동 174,서울특별시 강남구 개포로 401,37.4859589,127.0580194
56,초등학교,서울개원초등학교,강남구,개포동,서울특별시 강남구 개포동 660-10,서울특별시 강남구 선릉로 29,37.4813655,127.0590553
57,고등학교,단국대학교부속소프트웨어고등학교,강남구,대치동,서울특별시 강남구 대치동 1013,서울특별시 강남구 도곡로64길 21,37.496529,127.0564676
58,고등학교,풍문고등학교,강남구,자곡동,서울특별시 강남구 자곡동 643,서울특별시 강남구 자곡로 152,37.4713419,127.1006719
59,고등학교,압구정고등학교,강남구,압구정동,서울특별시 강남구 압구정동 470,서울특별시 강남구 압구정로39길 20,37.5309035,127.0329026
60,외국인학교,한국외국인학교,강남구,개포동,서울특별시 강남구 개포동 155,서울특별시 강남구 개포로 408,37.4858037,127.0634758
61,고등학교,대진디자인고등학교,강남구,수서동,서울특별시 강남구 수서동 733,서울특별시 강남구 광평로39길 93,37.4905725,127.0961778
62,고등학교,서울로봇고등학교,강남구,일원동,서울특별시 강남구 일원동 738,서울특별시 강남구 광평로20길 63,37.4806808,127.0843282
63,특수학교,서울정애학교,강남구,삼성동,서울특별시 강남구 삼성동 74-13,서울특별시 강남구 봉은사로81길 16,37.5143551,127.0542698
64,특수학교,밀알학교,강남구,일원동,서울특별시 강남구 일원동 713,서울특별시 강남구 일원로 90,37.4857714,127.0823193
65,방송통신고등학교,경기여자고등학교부설방송통신고등학교,강남구,개포동,서울특별시 강남구 개포동 152,서울특별시 강남구 삼성로 29,37.4867111,127.0659079
66,고등학교,수도전기공업고등학교,강남구,개포동,서울특별시 강남구 개포동 155,서울특별시 강남구 개포로 410,37.4858037,127.0634758
67,고등학교,휘문고등학교,강남구,대치동,서울특별시 강남구 대치동 952-1,서울특별시 강남구 역삼로 541,37.505133,127.0621203
68,고등학교,현대고등학교,강남구,압구정동,서울특별시 강남구 압구정동 425,서울특별시 강남구 압구정로 127,37.5251235,127.022643
69,고등학교,진선여자고등학교,강남구,역삼동,서울특별시 강남구 역삼동 713,서울특별시 강남구 선릉로85길 27,37.50170749999999,127.047566
70,고등학교,중앙대학교사범대학부속고등학교,강남구,도곡동,서울특별시 강남구 도곡동 산21,서울특별시 강남구 선릉로 207,37.4920256,127.0519949
71,고등학교,중산고등학교,강남구,일원동,서울특별시 강남구 일원동 714,서울특별시 강남구 일원로14길 22,37.4854681,127.0807228
72,고등학교,중동고등학교,강남구,일원동,서울특별시 강남구 일원동 618,서울특별시 강남구 일원로 7,37.4931224,127.0807538
73,고등학교,은광여자고등학교,강남구,도곡동,서울특별시 강남구 도곡동 938-10,서울특별시 강남구 남부순환로359길 36,37.4877477,127.0360047
74,고등학교,영동고등학교,강남구,청담동,서울특별시 강남구 청담동 23-4,서울특별시 강남구 선릉로 742,37.5205993,127.0422861
75,고등학교,숙명여자고등학교,강남구,도곡동,서울특별시 강남구 도곡동 91,서울특별시 강남구 남부순환로 2807,37.4910237,127.0530476
76,고등학교,서울세종고등학교,강남구,수서동,서울특별시 강남구 수서동 711,서울특별시 강남구 광평로51길 36,37.4900118,127.1026172
77,고등학교,단국대학교사범대학부속고등학교,강남구,대치동,서울특별시 강남구 대치동 1013,서울특별시 강남구 도곡로64길 21,37.496529,127.0564676
78,고등학교,청담고등학교,강남구,압구정동,서울특별시 강남구 압구정동 526,서울특별시 강남구 압구정로 419,37.5281729,127.0433932
79,고등학교,경기여자고등학교,강남구,개포동,서울특별시 강남구 개포동 152,서울특별시 강남구 삼성로 29,37.4867111,127.0659079
80,고등학교,경기고등학교,강남구,삼성동,서울특별시 강남구 삼성동 74-4,서울특별시 강남구 영동대로 643,37.5165547,127.0559215
81,고등학교,개포고등학교,강남구,개포동,서울특별시 강남구 개포동 173,서울특별시 강남구 개포로 402,37.484898,127.0591661
